ID,PRODUCT,SEGMENT,SCORE
APP200067,Personal Loan,Existing,644
APP200068,Nano Loan,MicroBiz,509
APP200069,Personal Loan,SelfEmployed,575
APP200070,Personal Loan,NewToCredit,727
APP200071,Personal Loan,Salaried,649
APP200072,Personal Loan,Existing,695
APP200073,Personal Loan,Existing,681
APP200074,Nano Loan,MicroBiz,548
APP200075,Nano Loan,MicroBiz,677
APP200076,Personal Loan,Informal,632
APP200077,Personal Loan,Existing,731
APP200078,Nano Loan,Existing,650
APP200079,Nano Loan,Informal,627
APP200080,Personal Loan,Salaried,845
APP200081,Personal Loan,SelfEmployed,649
APP200082,Nano Loan,Informal,521
APP200083,Nano Loan,SelfEmployed,576
APP200084,Personal Loan,Existing,571
APP200085,Nano Loan,SelfEmployed,588
APP200086,Nano Loan,Informal,584
APP200087,Nano Loan,MicroBiz,565
APP200088,Personal Loan,Informal,620
APP200089,Personal Loan,SelfEmployed,555
APP200090,Personal Loan,SelfEmployed,526
APP200091,Nano Loan,NewToCredit,689
APP200092,Nano Loan,SelfEmployed,596
APP200093,Personal Loan,Salaried,843
APP200094,Personal Loan,Existing,545
APP200095,Nano Loan,MicroBiz,584
APP200096,Personal Loan,Informal,474
APP200097,Personal Loan,SelfEmployed,710
APP200098,Personal Loan,Informal,556
APP200099,Personal Loan,Existing,507
APP200100,Nano Loan,MicroBiz,577
APP200101,Personal Loan,Salaried,780
APP200102,Personal Loan,Salaried,656
APP200103,Personal Loan,SelfEmployed,595
APP200104,Nano Loan,SelfEmployed,568
APP200105,Personal Loan,MicroBiz,613
APP200106,Personal Loan,SelfEmployed,716
APP200107,Nano Loan,SelfEmployed,647
APP200108,Nano Loan,Existing,518
APP200109,Nano Loan,Existing,576
APP200110,Personal Loan,SelfEmployed,591
APP200111,Nano Loan,Informal,678
APP200112,Personal Loan,Salaried,656
APP200113,Nano Loan,SelfEmployed,594
APP200114,Personal Loan,SelfEmployed,639
APP200115,Personal Loan,NewToCredit,651
APP200116,Nano Loan,Existing,769
APP200117,Personal Loan,Salaried,861
APP200118,Nano Loan,Informal,345
APP200119,Personal Loan,Salaried,726
APP200120,Nano Loan,NewToCredit,676
APP200121,Personal Loan,MicroBiz,492
APP200122,Personal Loan,Salaried,753
APP200123,Personal Loan,Salaried,769
APP200124,Personal Loan,NewToCredit,580
APP200125,Nano Loan,Informal,351
APP200126,Nano Loan,SelfEmployed,582
APP200127,Nano Loan,Existing,554
APP200128,Personal Loan,Informal,639
APP200129,Personal Loan,SelfEmployed,671
APP200130,Nano Loan,Salaried,688
APP200131,Personal Loan,Salaried,519
APP200132,Nano Loan,Salaried,728
APP200133,Nano Loan,NewToCredit,488
APP200134,Nano Loan,SelfEmployed,609
APP200135,Personal Loan,Salaried,674
APP200136,Personal Loan,Salaried,613
APP200137,Nano Loan,Informal,561
APP200138,Nano Loan,Salaried,688
APP200139,Nano Loan,Salaried,714
APP200140,Nano Loan,Salaried,649
APP200141,Personal Loan,SelfEmployed,651
APP200142,Personal Loan,Informal,561
APP200143,Nano Loan,MicroBiz,463
APP200144,Nano Loan,Informal,482
APP200145,Personal Loan,NewToCredit,641
APP200146,Nano Loan,Existing,661
APP200147,Personal Loan,SelfEmployed,706
APP200148,Nano Loan,Existing,589
APP200149,Personal Loan,NewToCredit,534
APP200150,Personal Loan,Salaried,598
APP200151,Personal Loan,NewToCredit,569
APP200152,Nano Loan,Existing,434
APP200153,Nano Loan,SelfEmployed,556
APP200154,Personal Loan,SelfEmployed,644
APP200155,Personal Loan,Salaried,736
APP200156,Personal Loan,Salaried,686
APP200157,Nano Loan,NewToCredit,529
APP200158,Nano Loan,Existing,752
APP200159,Nano Loan,Informal,570
APP200160,Nano Loan,SelfEmployed,546
APP200161,Nano Loan,MicroBiz,527
APP200162,Nano Loan,Existing,718
APP200163,Nano Loan,Existing,630
APP200164,Nano Loan,Informal,453
APP200165,Personal Loan,Salaried,631
APP200166,Nano Loan,MicroBiz,594
APP200167,Nano Loan,Informal,666
APP200168,Nano Loan,Existing,692
APP200169,Nano Loan,MicroBiz,558
APP200170,Nano Loan,MicroBiz,678
APP200171,Personal Loan,Salaried,657
APP200172,Personal Loan,Informal,538
APP200173,Personal Loan,Informal,569
APP200174,Nano Loan,Informal,509
APP200175,Personal Loan,MicroBiz,594
APP200176,Nano Loan,Existing,712
APP200177,Nano Loan,Salaried,685
APP200178,Nano Loan,MicroBiz,624
APP200179,Nano Loan,Existing,525
APP200180,Personal Loan,Existing,631
APP200181,Nano Loan,MicroBiz,500
APP200182,Nano Loan,MicroBiz,549
APP200183,Nano Loan,Existing,686
APP200184,Nano Loan,Salaried,805
APP200185,Personal Loan,SelfEmployed,551
APP200186,Personal Loan,Existing,847
APP200187,Personal Loan,MicroBiz,539
APP200188,Personal Loan,SelfEmployed,636
APP200189,Personal Loan,Salaried,683
APP200190,Nano Loan,Salaried,781
APP200191,Personal Loan,Informal,591
APP200192,Personal Loan,Salaried,638
APP200193,Personal Loan,Salaried,692
APP200194,Personal Loan,SelfEmployed,562
APP200195,Nano Loan,Informal,433
APP200196,Personal Loan,Existing,534
APP200197,Nano Loan,SelfEmployed,675
APP200198,Personal Loan,SelfEmployed,645
APP200199,Nano Loan,Existing,842
APP200200,Personal Loan,NewToCredit,531
APP200201,Personal Loan,MicroBiz,626
APP200202,Personal Loan,Salaried,688
APP200203,Nano Loan,MicroBiz,538
APP200204,Personal Loan,Existing,633
APP200205,Personal Loan,Salaried,755
APP200206,Nano Loan,SelfEmployed,810
APP200207,Personal Loan,Existing,778
APP200208,Personal Loan,Informal,446
APP200209,Nano Loan,Existing,704
APP200210,Nano Loan,Salaried,597
APP200211,Nano Loan,MicroBiz,649
APP200212,Personal Loan,Salaried,691
APP200213,Personal Loan,Salaried,614
APP200214,Personal Loan,Salaried,739
APP200215,Nano Loan,MicroBiz,548
APP200216,Personal Loan,Salaried,775
APP200217,Personal Loan,SelfEmployed,642
APP200218,Nano Loan,Informal,610
APP200219,Nano Loan,Existing,658
APP200220,Nano Loan,Existing,626
APP200221,Nano Loan,Existing,808
APP200222,Personal Loan,Informal,573
APP200223,Nano Loan,MicroBiz,521
APP200224,Nano Loan,Informal,430
APP200225,Personal Loan,SelfEmployed,696
APP200226,Nano Loan,Informal,422
APP200227,Personal Loan,Salaried,600
APP200228,Nano Loan,NewToCredit,604
APP200229,Nano Loan,Salaried,638
APP200230,Nano Loan,Existing,627
APP200231,Personal Loan,NewToCredit,650
APP200232,Nano Loan,Informal,454
APP200233,Nano Loan,Existing,640
APP200234,Nano Loan,SelfEmployed,577
APP200235,Personal Loan,Existing,596
APP200236,Personal Loan,Informal,559
APP200237,Nano Loan,MicroBiz,676
APP200238,Nano Loan,Salaried,794
APP200239,Nano Loan,NewToCredit,592
APP200240,Personal Loan,SelfEmployed,549
APP200241,Personal Loan,Informal,509
APP200242,Nano Loan,Salaried,792
APP200243,Nano Loan,MicroBiz,635
APP200244,Personal Loan,Salaried,711
APP200245,Personal Loan,MicroBiz,705
APP200246,Personal Loan,Existing,744
APP200247,Nano Loan,MicroBiz,651
APP200248,Nano Loan,MicroBiz,674
APP200249,Personal Loan,Salaried,699
APP200250,Personal Loan,Salaried,630
APP200251,Personal Loan,SelfEmployed,667
APP200252,Personal Loan,MicroBiz,506
APP200253,Personal Loan,NewToCredit,465
APP200254,Nano Loan,MicroBiz,449
APP200255,Personal Loan,Existing,689
APP200256,Personal Loan,Informal,537
APP200257,Personal Loan,Informal,391
APP200258,Personal Loan,Salaried,720
APP200259,Personal Loan,Salaried,689
APP200260,Personal Loan,SelfEmployed,704
APP200261,Personal Loan,Salaried,622
APP200262,Nano Loan,SelfEmployed,550
APP200263,Personal Loan,MicroBiz,607
APP200264,Personal Loan,SelfEmployed,574
APP200265,Nano Loan,Salaried,770
APP200266,Personal Loan,Existing,658
APP200267,Personal Loan,SelfEmployed,535
APP200268,Nano Loan,SelfEmployed,654
APP200269,Personal Loan,SelfEmployed,670
APP200270,Nano Loan,NewToCredit,614
APP200271,Nano Loan,Existing,686
APP200272,Nano Loan,MicroBiz,573
APP200273,Nano Loan,MicroBiz,533
APP200274,Nano Loan,MicroBiz,534
APP200275,Personal Loan,Informal,565
APP200276,Personal Loan,SelfEmployed,558
APP200277,Personal Loan,NewToCredit,614
APP200278,Personal Loan,NewToCredit,702
APP200279,Nano Loan,Existing,738
APP200280,Personal Loan,Salaried,818
APP200281,Personal Loan,Informal,500
APP200282,Personal Loan,MicroBiz,675
APP200283,Personal Loan,SelfEmployed,805
APP200284,Nano Loan,MicroBiz,483
APP200285,Personal Loan,Salaried,761
APP200286,Personal Loan,Existing,674
APP200287,Nano Loan,Informal,576
APP200288,Personal Loan,Salaried,730
APP200289,Personal Loan,Existing,638
APP200290,Personal Loan,NewToCredit,659
APP200291,Personal Loan,SelfEmployed,673
APP200292,Personal Loan,NewToCredit,638
APP200293,Personal Loan,Salaried,790
APP200294,Personal Loan,Salaried,821
APP200295,Personal Loan,NewToCredit,615
APP200296,Personal Loan,SelfEmployed,630
APP200297,Personal Loan,SelfEmployed,678
APP200298,Nano Loan,MicroBiz,496
APP200299,Personal Loan,Existing,540
APP200300,Personal Loan,NewToCredit,645
APP200301,Nano Loan,Salaried,819
APP200302,Nano Loan,SelfEmployed,528
APP200303,Nano Loan,SelfEmployed,483
APP200304,Nano Loan,MicroBiz,557
APP200305,Personal Loan,Informal,411
APP200306,Personal Loan,MicroBiz,629
APP200307,Nano Loan,NewToCredit,618
APP200308,Nano Loan,MicroBiz,620
APP200309,Personal Loan,MicroBiz,595
APP200310,Personal Loan,Salaried,784
APP200311,Personal Loan,Salaried,626
APP200312,Personal Loan,NewToCredit,513
APP200313,Nano Loan,MicroBiz,552
APP200314,Nano Loan,MicroBiz,405
APP200315,Nano Loan,Informal,529
APP200316,Personal Loan,Salaried,735
APP200317,Nano Loan,NewToCredit,525
APP200318,Personal Loan,MicroBiz,490
APP200319,Nano Loan,SelfEmployed,635
APP200320,Nano Loan,SelfEmployed,695
APP200321,Nano Loan,SelfEmployed,544
APP200322,Personal Loan,Salaried,749
APP200323,Personal Loan,NewToCredit,569
APP200324,Nano Loan,Informal,619
APP200325,Personal Loan,Existing,777
APP200326,Personal Loan,Salaried,568
APP200327,Nano Loan,Existing,658
APP200328,Nano Loan,Existing,697
APP200329,Nano Loan,Existing,554
APP200330,Personal Loan,Existing,759
APP200331,Nano Loan,MicroBiz,501
APP200332,Personal Loan,Existing,657
APP200333,Personal Loan,Salaried,811
APP200334,Personal Loan,SelfEmployed,741
APP200335,Personal Loan,Salaried,647
APP200336,Personal Loan,Salaried,566
APP200337,Nano Loan,Informal,528
APP200338,Nano Loan,Informal,484
APP200339,Nano Loan,NewToCredit,630
APP200340,Personal Loan,Salaried,671
APP200341,Nano Loan,Informal,546
APP200342,Nano Loan,NewToCredit,637
APP200343,Nano Loan,SelfEmployed,749
APP200344,Nano Loan,MicroBiz,716
APP200345,Nano Loan,MicroBiz,477
APP200346,Nano Loan,SelfEmployed,544
APP200347,Nano Loan,SelfEmployed,537
APP200348,Personal Loan,Salaried,776
APP200349,Personal Loan,Salaried,698
APP200350,Nano Loan,MicroBiz,636
APP200351,Personal Loan,Salaried,701
APP200352,Nano Loan,MicroBiz,622
APP200353,Personal Loan,SelfEmployed,670
APP200354,Personal Loan,Existing,602
APP200355,Personal Loan,Existing,776
APP200356,Nano Loan,MicroBiz,614
APP200357,Personal Loan,Existing,769
APP200358,Nano Loan,SelfEmployed,640
APP200359,Nano Loan,Informal,496
APP200360,Nano Loan,NewToCredit,651
APP200361,Nano Loan,Salaried,811
APP200362,Personal Loan,SelfEmployed,669
APP200363,Nano Loan,Informal,581
APP200364,Nano Loan,Salaried,609
APP200365,Nano Loan,Existing,648
APP200366,Personal Loan,Salaried,735
APP200367,Personal Loan,NewToCredit,508
APP200368,Nano Loan,Informal,504
APP200369,Personal Loan,Salaried,696
APP200370,Personal Loan,SelfEmployed,545
APP200371,Nano Loan,Existing,712
APP200372,Nano Loan,Salaried,750
APP200373,Personal Loan,Salaried,705
APP200374,Personal Loan,Salaried,699
APP200375,Nano Loan,SelfEmployed,712
APP200376,Personal Loan,SelfEmployed,656
APP200377,Personal Loan,NewToCredit,697
APP200378,Nano Loan,Salaried,667
APP200379,Nano Loan,MicroBiz,583
APP200380,Personal Loan,SelfEmployed,584
APP200381,Personal Loan,SelfEmployed,680
APP200382,Nano Loan,NewToCredit,512
APP200383,Personal Loan,Existing,718
APP200384,Personal Loan,Salaried,650
APP200385,Nano Loan,Informal,550
APP200386,Nano Loan,MicroBiz,640
APP200387,Personal Loan,NewToCredit,677
APP200388,Personal Loan,Salaried,691
APP200389,Personal Loan,Salaried,730
APP200390,Nano Loan,Salaried,688
APP200391,Personal Loan,NewToCredit,637
APP200392,Personal Loan,Existing,768
APP200393,Personal Loan,SelfEmployed,670
APP200394,Nano Loan,SelfEmployed,569
APP200395,Personal Loan,Existing,799
APP200396,Nano Loan,Existing,673
APP200397,Personal Loan,MicroBiz,519
APP200398,Personal Loan,SelfEmployed,625
APP200399,Personal Loan,Informal,476
APP200400,Personal Loan,Salaried,735
APP200401,Personal Loan,Salaried,643
APP200402,Personal Loan,Salaried,828
APP200403,Nano Loan,Existing,660
APP200404,Personal Loan,SelfEmployed,775
APP200405,Nano Loan,Existing,722
APP200406,Personal Loan,Salaried,682
APP200407,Personal Loan,Existing,673
APP200408,Personal Loan,Existing,790
APP200409,Personal Loan,SelfEmployed,640
APP200410,Nano Loan,Informal,502
APP200411,Personal Loan,Salaried,820
APP200412,Personal Loan,Salaried,701
APP200413,Personal Loan,Salaried,639
APP200414,Personal Loan,SelfEmployed,826
APP200415,Personal Loan,Existing,719
APP200416,Nano Loan,Informal,566
APP200417,Nano Loan,Informal,562
APP200418,Personal Loan,MicroBiz,652
APP200419,Personal Loan,SelfEmployed,664
APP200420,Nano Loan,Salaried,745
APP200421,Personal Loan,SelfEmployed,594
APP200422,Nano Loan,MicroBiz,666
APP200423,Nano Loan,Informal,498
APP200424,Personal Loan,SelfEmployed,801
APP200425,Nano Loan,Informal,531
APP200426,Personal Loan,Salaried,740
APP200427,Personal Loan,SelfEmployed,526
APP200428,Nano Loan,NewToCredit,691
APP200429,Personal Loan,Existing,778
APP200430,Personal Loan,SelfEmployed,654
APP200431,Personal Loan,Salaried,718
APP200432,Personal Loan,SelfEmployed,607
APP200433,Personal Loan,Salaried,800
APP200434,Nano Loan,NewToCredit,506
APP200435,Personal Loan,Existing,754
APP200436,Personal Loan,MicroBiz,514
APP200437,Personal Loan,Existing,627
APP200438,Nano Loan,MicroBiz,429
APP200439,Personal Loan,MicroBiz,548
APP200440,Personal Loan,Informal,585
APP200441,Nano Loan,Existing,619
APP200442,Nano Loan,SelfEmployed,527
APP200443,Personal Loan,Salaried,772
APP200444,Personal Loan,Salaried,612
APP200445,Nano Loan,MicroBiz,504
APP200446,Personal Loan,Salaried,643
APP200447,Personal Loan,MicroBiz,688
APP200448,Personal Loan,SelfEmployed,567
APP200449,Personal Loan,Salaried,811
APP200450,Nano Loan,SelfEmployed,700
APP200451,Nano Loan,Informal,540
APP200452,Nano Loan,SelfEmployed,596
APP200453,Nano Loan,MicroBiz,737
APP200454,Nano Loan,SelfEmployed,668
APP200455,Nano Loan,Informal,457
APP200456,Nano Loan,SelfEmployed,621
APP200457,Personal Loan,Salaried,760
APP200458,Nano Loan,Informal,474
APP200459,Personal Loan,Salaried,740
APP200460,Nano Loan,NewToCredit,630
APP200461,Personal Loan,Existing,648
APP200462,Nano Loan,MicroBiz,612
APP200463,Personal Loan,SelfEmployed,674
APP200464,Personal Loan,Existing,668
APP200465,Personal Loan,SelfEmployed,579
APP200466,Nano Loan,MicroBiz,567
APP200467,Nano Loan,Salaried,734
APP200468,Nano Loan,Informal,458
APP200469,Nano Loan,Salaried,601
APP200470,Nano Loan,MicroBiz,564
APP200471,Personal Loan,SelfEmployed,673
APP200472,Nano Loan,SelfEmployed,572
APP200473,Personal Loan,NewToCredit,771
APP200474,Personal Loan,SelfEmployed,671
APP200475,Nano Loan,MicroBiz,547
APP200476,Nano Loan,NewToCredit,538
APP200477,Nano Loan,NewToCredit,601
APP200478,Personal Loan,Salaried,684
APP200479,Personal Loan,Salaried,694
APP200480,Personal Loan,SelfEmployed,576
APP200481,Personal Loan,Salaried,751
APP200482,Nano Loan,MicroBiz,627
APP200483,Nano Loan,NewToCredit,420
APP200484,Personal Loan,Informal,508
APP200485,Personal Loan,SelfEmployed,723
APP200486,Personal Loan,Existing,723
APP200487,Personal Loan,SelfEmployed,427
APP200488,Nano Loan,MicroBiz,577
APP200489,Personal Loan,SelfEmployed,563
APP200490,Nano Loan,Existing,636
APP200491,Personal Loan,SelfEmployed,676
APP200492,Nano Loan,SelfEmployed,581
APP200493,Nano Loan,MicroBiz,610
APP200494,Personal Loan,Salaried,715
APP200495,Personal Loan,Salaried,739
APP200496,Nano Loan,NewToCredit,532
APP200497,Personal Loan,NewToCredit,648
APP200498,Personal Loan,Salaried,754
APP200499,Personal Loan,SelfEmployed,548
APP200500,Nano Loan,Existing,744
APP200501,Personal Loan,SelfEmployed,816
APP200502,Nano Loan,Salaried,741
APP200503,Personal Loan,Existing,645
APP200504,Personal Loan,SelfEmployed,549
APP200505,Nano Loan,MicroBiz,643
APP200506,Personal Loan,Informal,506
APP200507,Personal Loan,Salaried,580
APP200508,Personal Loan,Salaried,653
APP200509,Nano Loan,Salaried,751
APP200510,Nano Loan,SelfEmployed,616
APP200511,Personal Loan,Salaried,793
APP200512,Personal Loan,Existing,598
APP200513,Personal Loan,Salaried,775
APP200514,Personal Loan,Existing,747
APP200515,Personal Loan,NewToCredit,584
APP200516,Nano Loan,Existing,708
APP200517,Personal Loan,Existing,660
APP200518,Personal Loan,Salaried,668
APP200519,Personal Loan,SelfEmployed,692
APP200520,Nano Loan,MicroBiz,569
APP200521,Nano Loan,SelfEmployed,590
APP200522,Personal Loan,MicroBiz,494
APP200523,Personal Loan,SelfEmployed,738
APP200524,Nano Loan,NewToCredit,648
APP200525,Nano Loan,SelfEmployed,575
APP200526,Nano Loan,Informal,401
APP200527,Nano Loan,Existing,755
APP200528,Nano Loan,Salaried,730
APP200529,Personal Loan,Existing,663
APP200530,Personal Loan,Salaried,753
APP200531,Nano Loan,Existing,732
APP200532,Personal Loan,Informal,511
APP200533,Nano Loan,Existing,736
APP200534,Personal Loan,MicroBiz,661
APP200535,Personal Loan,MicroBiz,486
APP200536,Nano Loan,NewToCredit,501
APP200537,Nano Loan,MicroBiz,596
APP200538,Personal Loan,NewToCredit,658
APP200539,Personal Loan,Salaried,593
APP200540,Personal Loan,Salaried,660
APP200541,Nano Loan,MicroBiz,461
APP200542,Personal Loan,SelfEmployed,670
APP200543,Personal Loan,Existing,688
APP200544,Personal Loan,MicroBiz,600
APP200545,Nano Loan,MicroBiz,514
APP200546,Personal Loan,MicroBiz,635
APP200547,Nano Loan,NewToCredit,612
APP200548,Nano Loan,Existing,839
APP200549,Personal Loan,Salaried,600
APP200550,Personal Loan,Informal,385
APP200551,Nano Loan,MicroBiz,507
APP200552,Personal Loan,Salaried,629
APP200553,Personal Loan,MicroBiz,638
APP200554,Nano Loan,SelfEmployed,636
APP200555,Personal Loan,Salaried,686
APP200556,Nano Loan,NewToCredit,595
APP200557,Nano Loan,Salaried,597
APP200558,Nano Loan,Informal,429
APP200559,Personal Loan,SelfEmployed,761
APP200560,Personal Loan,SelfEmployed,706
APP200561,Nano Loan,Salaried,793
APP200562,Nano Loan,Salaried,829
APP200563,Personal Loan,Salaried,673
APP200564,Personal Loan,Existing,587
APP200565,Nano Loan,SelfEmployed,601
APP200566,Nano Loan,Informal,561
APP200567,Nano Loan,Existing,776
APP200568,Nano Loan,Salaried,821
APP200569,Nano Loan,MicroBiz,509
APP200570,Personal Loan,SelfEmployed,644
APP200571,Personal Loan,Existing,759
APP200572,Personal Loan,Salaried,863
APP200573,Nano Loan,Salaried,584
APP200574,Personal Loan,MicroBiz,569
APP200575,Nano Loan,Informal,381
APP200576,Nano Loan,Informal,479
APP200577,Personal Loan,SelfEmployed,471
APP200578,Nano Loan,Existing,615
APP200579,Personal Loan,NewToCredit,592
APP200580,Personal Loan,Salaried,726
APP200581,Personal Loan,MicroBiz,627
APP200582,Personal Loan,SelfEmployed,667
APP200583,Personal Loan,SelfEmployed,589
APP200584,Personal Loan,Salaried,620
APP200585,Nano Loan,SelfEmployed,575
APP200586,Nano Loan,Salaried,651
APP200587,Personal Loan,Salaried,726
APP200588,Nano Loan,Informal,564
APP200589,Nano Loan,Existing,699
APP200590,Nano Loan,MicroBiz,593
APP200591,Personal Loan,SelfEmployed,564
APP200592,Personal Loan,Informal,666
APP200593,Personal Loan,Existing,636
APP200594,Personal Loan,Salaried,733
APP200595,Personal Loan,NewToCredit,609
APP200596,Nano Loan,Informal,489
APP200597,Personal Loan,Salaried,684
APP200598,Personal Loan,Existing,645
APP200599,Personal Loan,Salaried,699
APP200600,Personal Loan,Salaried,690
APP200601,Personal Loan,Informal,484
APP200602,Nano Loan,Salaried,587
APP200603,Nano Loan,MicroBiz,534
APP200604,Nano Loan,NewToCredit,603
APP200605,Personal Loan,Salaried,594
APP200606,Personal Loan,Salaried,887
APP200607,Nano Loan,MicroBiz,529
APP200608,Nano Loan,SelfEmployed,703
APP200609,Personal Loan,Salaried,809
APP200610,Personal Loan,Salaried,840
APP200611,Personal Loan,Salaried,686
APP200612,Personal Loan,Salaried,698
APP200613,Nano Loan,SelfEmployed,696
APP200614,Nano Loan,SelfEmployed,668
APP200615,Nano Loan,Existing,750
APP200616,Nano Loan,Existing,770
APP200617,Personal Loan,MicroBiz,644
APP200618,Nano Loan,Salaried,694
APP200619,Nano Loan,SelfEmployed,700
APP200620,Nano Loan,SelfEmployed,510
APP200621,Personal Loan,Existing,617
APP200622,Nano Loan,MicroBiz,613
APP200623,Personal Loan,Salaried,664
APP200624,Nano Loan,SelfEmployed,536
APP200625,Nano Loan,Existing,631
APP200626,Nano Loan,MicroBiz,553
APP200627,Nano Loan,SelfEmployed,666
APP200628,Personal Loan,Existing,734
APP200629,Personal Loan,Salaried,639
APP200630,Personal Loan,Salaried,718
APP200631,Nano Loan,NewToCredit,599
APP200632,Nano Loan,Informal,621
APP200633,Personal Loan,Salaried,689
APP200634,Nano Loan,Informal,583
APP200635,Personal Loan,MicroBiz,696
APP200636,Nano Loan,MicroBiz,625
APP200637,Nano Loan,Informal,537
APP200638,Personal Loan,Salaried,578
APP200639,Personal Loan,SelfEmployed,602
APP200640,Nano Loan,NewToCredit,597
APP200641,Personal Loan,MicroBiz,542
APP200642,Personal Loan,Existing,659
APP200643,Nano Loan,Existing,605
APP200644,Nano Loan,Salaried,642
APP200645,Personal Loan,Existing,714
APP200646,Nano Loan,NewToCredit,522
APP200647,Nano Loan,MicroBiz,709
APP200648,Nano Loan,SelfEmployed,568
APP200649,Personal Loan,NewToCredit,668
APP200650,Personal Loan,SelfEmployed,554
APP200651,Personal Loan,SelfEmployed,574
APP200652,Nano Loan,Informal,479
APP200653,Nano Loan,Informal,518
APP200654,Personal Loan,Salaried,768
APP200655,Personal Loan,Salaried,657
APP200656,Nano Loan,MicroBiz,572
APP200657,Personal Loan,Informal,441
APP200658,Nano Loan,MicroBiz,557
APP200659,Personal Loan,Existing,627
APP200660,Personal Loan,MicroBiz,658
APP200661,Personal Loan,SelfEmployed,673
APP200662,Nano Loan,SelfEmployed,575
APP200663,Personal Loan,NewToCredit,695
APP200664,Nano Loan,MicroBiz,575
APP200665,Personal Loan,Salaried,565
APP200666,Nano Loan,SelfEmployed,719
APP200667,Personal Loan,Salaried,709
APP200668,Nano Loan,Salaried,858
APP200669,Nano Loan,Informal,736
APP200670,Nano Loan,Informal,525
APP200671,Personal Loan,NewToCredit,579
APP200672,Nano Loan,Existing,648
APP200673,Nano Loan,NewToCredit,538
APP200674,Personal Loan,Existing,598
APP200675,Personal Loan,Existing,568
APP200676,Personal Loan,Existing,693
APP200677,Personal Loan,MicroBiz,665
APP200678,Personal Loan,Existing,811
APP200679,Personal Loan,SelfEmployed,690
APP200680,Nano Loan,NewToCredit,506
APP200681,Personal Loan,SelfEmployed,559
APP200682,Nano Loan,Existing,704
APP200683,Nano Loan,SelfEmployed,632
APP200684,Nano Loan,MicroBiz,688
APP200685,Personal Loan,Salaried,525
APP200686,Personal Loan,Salaried,660
APP200687,Nano Loan,MicroBiz,487
APP200688,Personal Loan,Salaried,782
APP200689,Personal Loan,SelfEmployed,459
APP200690,Nano Loan,SelfEmployed,579
APP200691,Personal Loan,SelfEmployed,716
APP200692,Nano Loan,MicroBiz,544
APP200693,Personal Loan,NewToCredit,788
APP200694,Personal Loan,Existing,521
APP200695,Personal Loan,SelfEmployed,783
APP200696,Personal Loan,NewToCredit,520
APP200697,Nano Loan,NewToCredit,551
APP200698,Nano Loan,MicroBiz,600
APP200699,Personal Loan,Salaried,622
APP200700,Nano Loan,MicroBiz,634
APP200701,Nano Loan,NewToCredit,486
